"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_IAT_SearchCharcoal","Search for Charcoal","Search for Charcoal","Hledat dřevěné uhlí","Nach Holzkohle suchen","Искать древесный уголь","Szukaj węgla drzewnego","Faszén keresése","Cerca carbone vegetale","Buscar carbón vegetal","Chercher du charbon de bois","尋找木炭","木炭を探す","Procurar carvão vegetal","寻找木炭",
"STR_IAT_StartSmelting","Start Smelting","Start Smelting","Spustit tavení","Schmelzen starten","Начать плавку","Rozpocznij wytapianie","Olvasztás indítása","Avvia la fusione","Iniciar fundición","Démarrer la fusion","開始冶煉","製錬を開始","Iniciar fundição","开始冶炼",
"STR_IAT_LockSmeltingSlots","Lock Slots","Lock Slots","Zamknout sloty","Slots sperren","Заблокировать слоты","Zablokuj sloty","Helyek zárolása","Blocca slot","Bloquear ranuras","Verrouiller les emplacements","鎖定槽位","スロットをロック","Bloquear espaços","锁定槽位",
"STR_IAT_UnLockSmeltingSlots","Unlock Slots","Unlock Slots","Odemknout sloty","Slots entsperren","Разблокировать слоты","Odblokuj sloty","Helyek feloldása","Sblocca slot","Desbloquear ranuras","Déverrouiller les emplacements","解鎖槽位","スロットのロック解除","Desbloquear espaços","解锁槽位",
"STR_UI_SmeltingWindowTitle","SMELTING MINI GAME","SMELTING MINI GAME","MINIHRA TAVENÍ","SCHMELZ-MINISPIEL","МИНИ-ИГРА ПЛАВКИ","MINIGRA WYTAPIANIA","OLVASZTÁS MINIJÁTÉK","MINIGIOCO DI FUSIONE","MINIJUEGO DE FUNDICIÓN","MINI-JEU DE FONTE","冶煉小遊戲","製錬ミニゲーム","MINIJOGO DE FUNDIÇÃO","冶炼小游戏",
"STR_UI_AccelerantHp","Accelerant HP","Accelerant HP","HP akcelerantu","Beschleuniger-HP","HP ускорителя","HP akcelerantu","Gyorsító HP","HP dell'accelerante","HP del acelerante","HP de l'accélérant","助燃劑HP","促進剤HP","HP do acelerante","助燃剂HP",
"STR_UI_OreGroup1","Ore Group 1","Ore Group 1","Skupina rudy 1","Erzgruppe 1","Группа руды 1","Grupa rud 1","Érccsoport 1","Gruppo minerale 1","Grupo de mineral 1","Groupe de minerai 1","礦石組 1","鉱石グループ 1","Grupo de minério 1","矿石组 1",
"STR_UI_OreGroup2","Ore Group 2","Ore Group 2","Skupina rudy 2","Erzgruppe 2","Группа руды 2","Grupa rud 2","Érccsoport 2","Gruppo minerale 2","Grupo de mineral 2","Groupe de minerai 2","礦石組 2","鉱石グループ 2","Grupo de minério 2","矿石组 2",
"STR_UI_SmeltingStreak","STREAK:","STREAK:","SÉRIE:","SERIE:","СЕРИЯ:","SERIA:","SOROZAT:","SERIE:","RACHA:","SÉRIE:","連勝：","連続:","SEQUÊNCIA:","连胜:",
"STR_UI_WinLossRatio","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:","W/L:",
"STR_UI_Wins","W:","W:","W:","W:","W:","W:","W:","W:","W:","W:","W:","W:","W:","W:",
"STR_UI_Loss","L:","L:","L:","L:","L:","L:","L:","L:","L:","L:","L:","L:","L:","W:",
"STR_UI_ButtonOver","OVER","OVER","VÍCE","ÜBER","БОЛЬШЕ","WYŻEJ","FELETTE","SOPRA","MAYOR","AU-DESSUS","大","オーバー","MAIOR","大",
"STR_UI_ButtonUnder","UNDER","UNDER","MÉNĚ","UNTER","МЕНЬШЕ","NIŻEJ","ALATTA","SOTTO","MENOR","AU-DESSOUS","小","アンダー","MENOR","小",
"STR_UI_WagerPlacedCountDown","WAGER PLACED - Results In:","WAGER PLACED - Results In:","SÁZKA ULOŽENA – Výsledek za:","EINSATZ PLATZIERT – Ergebnis in:","СТАВКА СДЕЛАНА — Результат через:","ZAKŁAD POSTAWIONY – Wynik za:","FOGADÁS LEADVA – Eredményig:","SCOMMESSA PIAZZATA - Risultati in:","APUESTA REALIZADA - Resultados en:","PARI PLACÉ – Résultat dans:","已下注 - 結果於:","賭け完了 - 結果まで:","APOSTA FEITA - Resultado em:","已下注 - 结果在：",
"STR_UI_OverPerfectTempLabel","OVER PERFECT TEMP","OVER PERFECT TEMP","NAD IDEÁLNÍ TEPLOTOU","ÜBER PERFEKTER TEMPERATUR","ВЫШЕ ИДЕАЛЬНОЙ ТЕМПЕРАТУРЫ","POWYŻEJ IDEALNEJ TEMPERATURY","A TÖKÉLETES HŐMÉRSÉKLET FELETT","SOPRA LA TEMPERATURA PERFETTA","POR ENCIMA DE LA TEMPERATURA PERFECTA","AU-DESSUS DE LA TEMPÉRATURE PARFAITE","高於理想溫度","最適温度より高い","ACIMA DA TEMPERATURA PERFEITA","高于理想温度",
"STR_UI_UnderPerfectTempLabel","UNDER PERFECT TEMP","UNDER PERFECT TEMP","POD IDEÁLNÍ TEPLOTOU","UNTER PERFEKTER TEMPERATUR","НИЖЕ ИДЕАЛЬНОЙ ТЕМПЕРАТУРЫ","PONIŻEJ IDEALNEJ TEMPERATURY","A TÖKÉLETES HŐMÉRSÉKLET ALATT","SOTTO LA TEMPERATURA PERFETTA","POR DEBAJO DE LA TEMPERATURA PERFECTA","AU-DESSOUS DE LA TEMPÉRATURE PARFAITE","低於理想溫度","最適温度より低い","ABAIXO DA TEMPERATURA PERFEITA","低于理想温度",
"STR_UI_PerfectTempLabel","PERFECT TEMP","PERFECT TEMP","IDEÁLNÍ TEPLOTA","PERFEKTE TEMPERATUR","ИДЕАЛЬНАЯ ТЕМПЕРАТУРА","IDEALNA TEMPERATURA","TÖKÉLETES HŐMÉRSÉKLET","TEMPERATURA PERFETTA","TEMPERATURA PERFECTA","TEMPÉRATURE PARFAITE","理想溫度","最適温度","TEMPERATURA PERFEITA","理想温度",
